nome,aceite,genero,notas
Aarão,Sim,,
Aaron,Não,,
Abdénago,Sim,M,
Abdul,Sim,,
Abedenego,Não,,
Abeilard,Não,,
Abeilarde,Não,,
Abelâmio,Sim,M,
Abelardo,Sim,M,
Abelino,Não,,
Abigail,Sim,F,
Abimael,Não,,
Abissail,Não,,
Abna,Sim,,
Abraão,Sim,M,
Abraham,Não,,
Abraim,Sim,M,
Abrão,Sim,M,
Absalão,Sim,M,
Abssilão,Não,,
Ácil,Sim,F,
Acilino,Sim,M,
Acílio,Sim,,
Acini,Não,,
Açores,Não,,
Açucena,Sim,,
Acúrcio,Não,,
Acúrsio,Sim,M,
Ada,Sim,,
Adail,Sim,M,
Adalberto,Sim,M,
Adalgisa,Sim,,
Adália,Sim,,
Adalsindo,Sim,,
Adalsino,Sim,,
Adam,Não,,
Adama,Não,,
Adamantino,Sim,M,
Adamastor,Sim,M,
Adamo,Não,,
Adarico,Não,,
Adárico,Não,,
Adário,Não,,
Adelaide João,Sim,,
Adelindo,Sim,M,
Adelmo,Sim,M,
Ademar,Sim,,
Adeodato,Sim,M,
Adércio,Não,,
Adério,Sim,M,
Adiel,Sim,M,
Ádila,Sim,F,
Adilar,Não,,
Adília,Sim,F,
Adílio,Sim,,
Adilson,Não,,
Adirio,Não,,
Adírio,Não,,
Adis,Não,,
Adjene,Não,,
Adliano,Não,,
Admar,Não,,
Admiro,Não,,
Admisia,Não,,
Adner,Sim,M,
Adolfo,Sim,,
Adonai,Sim,M,
Adonias,Sim,,
Adonilo,Sim,,
Adónis,Sim,M,
Adoração,Não,,
Adorinda,Não,,
Adorino,Sim,M,
Adosinda,Sim,F,
Adria,Não,,
Adriana do Mar,Sim,F,
Adriane,Não,,
Adriano,Sim,M,
Adriel,Sim,M,
Adrilete,Não,,
Adrualdo,Sim,M,
Adruzilo,Sim,M,
Aduíno,Não,,
Afonsina,Sim,,
Afonsino,Sim,,
Afonso de São Luís,Sim,,
Afonso Henriques,Sim,,conjunto onomástico
Afra,Sim,F,
Afrânio,Sim,M,
Afre,Sim,,
África,Não,,
Africana,Sim,F,
Africano,Sim,M,
Ágata,Sim,,
Agatha,Não,,
Agda,Não,,
Agenor,Sim,M,
Agna,Sim,,
Agnello,Não,,
Agnelo,Sim,,
Agnes,Sim,F,
Agonia,Sim,,"como segundo elemento do nome, precedido da 
partícula ""da"""
Agostília,Não,,
Agostinho,Sim,M,
Águas,Não,,
Águeda,Sim,F,
Aguiar,Não,,
Aguinaldo,Não,,
Aiala,Não,,
Aicha,Não,,
Aidan,Não,,
Aidé,Sim,,
Aidi,Não,,
Aila,Não,,
Aileda,Não,,
Ailine,Não,,
Ailson,Não,,
Ailton,Não,,
Aimi,Não,,
Aine,Não,F,
Aires,Sim,M,
Airiza,Sim,F,
Airtom,Não,,
Airton,Sim,M,
Aisha,Não,,
Aita,Não,,
Aitor,Sim,M,
Aixa,Sim,F,
Akira,Não,,
Aladino,Sim,M,
Alaíde,Sim,F,
Alaim,Não,,
Alain,Não,,
Alamiro,Sim,M,
Alan,Sim,M,
Alana,Sim,F,revoga o despacho de 03-02-1993
Alanis,Não,,
Alanna,Não,,
Alano,Sim,,
Alão,Sim,,
Alba,Sim,,
Albano,Sim,M,
Alberico,Sim,,
Alberta,Sim,,
Alberty,Não,,
Albrique,Não,,
Albuquerque,Não,,
Alcibíades,Sim,M,
Alcide,Não,,
Alcides,Sim,M,
Alcina,Sim,F,
Alcindo,Sim,M,
Alcínia,Não,,
Alcino,Sim,M,
Alcione,Não,,
Alcíone,Sim,F,
Aldaír,Sim,M,
Aldara,Sim,F,
Aldemar,Sim,,
Aldenir,Sim,F,
Aldenora,Sim,F,
Alder,Sim,M,revoga o despacho de 30-07-1977
Aldo Dino,Sim,,
Aldónio,Sim,,
Aldora,Sim,F,como segundo elemento do nome
Alecsandro,Não,,
Alegria,Sim,F,
Aleixa,Sim,F,
Alejandra,Não,,
Alejandro,Não,M,
Alencar,Não,,
Alésia,Não,,
Alessandra,Não,,
Alessandro,Não,,
Aleta,Sim,F,
Aleu,Sim,M,
Alex,Sim,M,
Alexa,Sim,,
Alexander,Não,,
Alexandra,Sim,F,
Alexandra João,Sim,,
Alexandria,Não,,
Alexandrino,Sim,,
Alexandro,Sim,M,
Alexei,Não,,
Aléxia,Sim,F,"não ""ALEXIA"""
Alexina,Sim,,
Aléxio,Sim,M,
Aléxis,Sim,,"não ""ALEXIS"""
Alexsandro,Não,,
Alfeu,Sim,,
Alfreda,Sim,,
Alfredina,Não,,
Algarinho,Não,,
Algi,Não,,
Algy,Não,,
Ália,Sim,,
Aliana,Sim,F,
Aliça,Sim,F,
Alice,Sim,F,
Alícia,Sim,,
Aliçon,Não,,
Alida,Sim,,
Alide,Não,,
Alina,Sim,F,
Aline,Sim,F,
Alípio,Sim,M,
Aliquesone,Não,,
Alírio,Sim,,
Alisande,Sim,F,
Alisia,Não,,
Álison,Sim,,
Alissa,Não,,
Alissandra,Não,,
Alissandro,Não,,
Alita,Sim,F,
Alítio,Sim,,
Alito,Sim,,
Alivar,Sim,M,
Alívio,Sim,,"só no conjunto ""MARIA DO ALÍVIO"""
Alix,Sim,F,
Aljocolo,Não,,
Allan Brett,Não,,
Allen,Não,,
Allessandro,Não,,
Alma,Sim,F,revoga o despacho de 14-04-1981
Almada,Não,,
Almara,Sim,F,
Almecinda,Não,,
Almesinda,Sim,F,
Alminda,Não,,
Almir,Não,,
Almira,Sim,,
Almirique,Não,,
Almiro,Sim,,
Almo,Não,,
Almurtão,Sim,,"como segundo elemento do nome, precedido da 
partícula ""do"""
Aloís,Sim,,
Aloísio,Sim,M,
Alonso,Não,,
Alonzo,Não,,
Alpes,Não,,
Alpoim,Sim,M,revoga o despacho de 06-05-1981
Alquina,Não,,
Altenino,Não,,
Alter,Não,,
Altina,Sim,,
Altino,Sim,,
Altomirândio,Não,,
Aluisa,Não,,
Aluízio,Não,,
Alva,Sim,F,
Álvares,Não,,
Alvares,Não,,
Alvarim,Sim,M,
Alvarina,Sim,F,
Alvarindo,Não,,
Alvarinho,Não,,
Alvarino,Sim,,
Alvário,Sim,M,
Alverita,Não,,
Alvier,Não,,
Alvim,Não,,
Alvino,Sim,M,
Alzerina,Não,,
Alzinda,Não,,
Alzira,Sim,,
Alzirinda,Não,,
Amadeu,Sim,M,
Amadeus,Não,,
Amádio,Não,,
Amadis,Sim,,
Amado,Sim,,
Amador,Sim,,
Amael,Não,,
Amanda,Sim,,
Amandina,Sim,,
Amar,Não,,
Amara,Sim,,
Amaral,Não,,
Amarilde,Não,,
Amarildo,Sim,,
Amarílio,Sim,M,
Amarílis,Sim,,
Amaro,Sim,M,
Amastor,Não,,
Amauri,Sim,,
Amáuri,Não,,
Amável,Sim,,
Amávia,Não,,
Amavilde,Não,,
Ambar,Não,,
Ameet,Não,,
Amélia,Sim,F,
Amelina,Sim,F,
Amena,Não,,
América,Sim,F,
Américo,Sim,M,
Amícia,Não,,
Aminadabe,Sim,M,
Amor,Sim,M,
Amora,Sim,F,
Amorel,Não,,
Amorim,Sim,M,revoga o despacho de 23-10-1975
Amorina,Sim,F,
Amorita,Não,,
Amorosa,Não,,
Amorzinda,Sim,F,
Amós,Sim,,
Amparo,Sim,,"como segundo elemento do nome, precedido da 
partícula ""do"""
Ana Arine,Sim,F,conjunto onomástico
Ana Bela,Sim,F,
Ana da Purificação,Sim,,
Ana de São José,Sim,F,
Ana do Carmo,Sim,F,
Ana do Mar,Sim,F,
Ana do Rosário,Sim,,
Ana Flôr,Sim,,
Ana Lua,Sim,F,
Ana Mar,Sim,,"conjunto onomástico; revoga o despacho de 28-06-
1990"
Ana Rosário,Não,,"só é de admitir se os dois vocábulos forem ligados pela 
partícula ""do"""
Ana Viriato,Sim,F,conjunto onomástico
Anabel,Sim,,
Anabela,Sim,,
Ana-Clara,Não,,
Anael,Sim,M,
Anaíce,Sim,F,
Anaíde,Sim,F,
Anailda,Não,,
Anailde,Não,,
Anaim,Sim,M,
Anaina,Não,,
Anair,Sim,F,
Anaira,Não,,
Anaíra,Não,,
Anaís,Sim,F,
Anaisa,Sim,,
Anaísa,Sim,F,
Anaiza,Não,,
Analaura,Não,,
Analdina,Sim,,
Anali,Não,,
Anália,Sim,,
Analice,Sim,F,
Analide,Sim,M,
Analídio,Não,,
Analine,Não,,
Analisa,Sim,,
Analissa,Não,,
Analtina,Não,,
Analua,Não,,
Analuar,Não,,
Analuz,Não,,
Anamar,Sim,F,
Anandine,Não,,
Anania,Sim,M,
Ananias,Sim,M,
Anarelina,Não,,
Anarolina,Não,,
Anatércia,Não,,
Anatilde,Sim,,
Âncora,Não,,
Andere,Não,,
Anderson,Não,,
Andi,Não,,
Andraja,Não,,
André,Sim,M,
Andrea,Sim,F,"revoga os despachos de 1970, 1980 e de 1991"
Andreas,Não,,
Andrei,Não,,
Andreia,Sim,F,
Andreias,Sim,M,
Andreína,Sim,F,
Andrelina,Sim,F,
Andreo,Sim,M,
Ândreo,Não,,
Andrés,Sim,M,
Andresa,Sim,F,
Andressa,Não,,
Andrete,Não,,
Andreti,Não,,
Andreza,Não,,
Ândria,Sim,F,
Andria,Não,,
Andrina,Não,,
Ândrio,Não,,
Andrius,Não,,
Andro,Não,,
Andy,Não,,
Anésia,Sim,,
Anete,Não,,
Angel,Não,,
Ângeles,Não,,
Angélica,Sim,,
Angélico,Sim,M,revoga o despacho de 08-07-2008
Angelin,Não,,
Angelique,Não,,
Angelita,Sim,F,
Ângelo,Sim,,
Angra,Não,,
Ani,Não,,
Ânia,Sim,F,
Aniana,Sim,F,
Anicete,Não,,
Anícia,Sim,F,
Aniello,Não,,
Anielo,Sim,M,
Anilda,Não,,
Anildo,Não,,
Anilinca,Não,,
Aniquília,Não,,
Aniri,Não,,
Aníria,Sim,F,
Anisabel,Não,,
Anisabela,Não,,
Anish,Não,,
Anísia,Sim,F,
Anísio,Sim,,
Anissa,Não,,
Anita,Sim,F,
Anjos,Sim,,"como segundo elemento do nome, precedido da 
partícula ""dos"""
Anne,Não,F,despacho de 15-06-2011
Annie,Não,,
Anolido,Sim,,
Anorindo,Não,,
Anouchka,Não,,
Anouk,Não,,
Anquita,Sim,,
Anselmo,Sim,M,
Anteia,Sim,F,
Antelmo,Sim,M,
Antera,Sim,F,
Antero,Sim,M,
Antíbio,Não,,
Antineia,Não,,
Antoinette,Não,,
Antonela,Sim,,
Antonelli,Não,,
Antonelo,Sim,,
Antoni,Não,,
Antonieta,Sim,,
Antonina,Sim,,
Antonita,Não,,
Anunciação,Sim,F,
Anunciada,Sim,,
Anuque,Sim,,
Anusca,Sim,F,
Anuschka,Não,,
Anuska,Não,,
Anya,Não,F,
Aparecida,Sim,,
Aparício,Sim,M,
Ápio,Sim,M,
Apolinário,Sim,M,
Apolo,Sim,M,
Aprígio,Sim,,
Aquil,Sim,M,
Aquila,Sim,M,
Áquila,Sim,M,
Aquiles,Sim,M,
Aquilino,Sim,M,
Aquino,Sim,,como segundo elemento do nome
Aquira,Sim,M,
Áquira,Não,,
Ara,Não,,
Arabela,Sim,F,
Araci,Sim,,como segundo elemento do nome
Aradna,Sim,,
Aragão,Não,,
Aralde,Não,,
Aramis,Sim,M,
Araújo,Não,,
Arbela,Não,,
Arbelda,Não,,
Arbre,Não,,
Arcádio,Sim,M,
Arcanjo,Sim,M,
Arcelino,Sim,M,
Arcélio,Sim,,
Arcelis,Não,,
Arcidio,Não,,
Arcílio,Sim,M,
Arcindo,Não,,
Ardelisa,Não,,
Ardeliza,Não,,
Ardiles,Não,,
Ardingue,Sim,M,
Argemiro,Sim,,
Argentina,Sim,,
Argentino,Sim,,
Argo Demetrius,Não,,
Ari,Sim,,preferível como segundo elemento do nome
Ária,Sim,F,
Ariadna,Sim,,
Ariadne,Sim,,
Arian,Não,,
Ariana,Sim,,
Ariane,Sim,F,despacho de 03-08-2007
Arianne,Não,,
Arícia,Não,F,
Aricina,Não,,
Ariel,Sim,M,
Ariele,Sim,F,
Arien,Não,F,
Aries,Não,,
Áries,Não,,
Arieta,Não,,
Arinda,Sim,,
Arine,Sim,M,
Ariosto,Sim,M,
Arisberto,Sim,M,
Aristides,Sim,M,
Aristóteles,Sim,M,
Arita,Não,,
Arjuna,Não,,
Arlanda,Sim,,
Arlete,Sim,,
Arlino,Não,,
Armândia,Não,,
Armandina,Sim,,
Armandino,Sim,,
Armando,Sim,M,
Armelim,Sim,M,
Arménia,Sim,F,
Arménio,Sim,,
Armor,Não,,
Arneles,Não,,
